Year,Level 0,Level 1,Level 2,Level 3,Level 4,Current Metric,Value
2023,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2023,Gross Profit,Operating Income,EBIT,,,Income Before Tax,89185000000.0
2023,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,15549000000.0
2023,Gross Profit,Operating Income,,,,Operating Expenses,215927000000.0
2023,Gross Profit,Operating Income,,,,Depreciation,
2023,Gross Profit,Operating Income,,,,Depreciation and Amortization,38158000000.0
2023,Gross Profit,,,,,"Selling, General and Administrative",42183000000.0
2023,Gross Profit,,,,,Research and Development,56744000000.0
2023,Operating Income,,,,,EBIT,84234000000.0
2023,Operating Income,EBIT,,,,EBITDA,122392000000.0
2023,Operating Income,EBIT,EBITDA,,,Net Income,72783000000.0
2023,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,65573000000.0
2023,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2023,Operating Income,EBIT,,,,Income Before Tax,89185000000.0
2023,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,15549000000.0
2023,Operating Income,,,,,Operating Expenses,215927000000.0
2023,Operating Income,,,,,Depreciation,
2023,Operating Income,,,,,Depreciation and Amortization,38158000000.0
2023,EBIT,,,,,EBITDA,122392000000.0
2023,EBIT,EBITDA,,,,Net Income,72783000000.0
2023,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,65573000000.0
2023,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2023,EBIT,,,,,Income Before Tax,89185000000.0
2023,EBIT,Income Before Tax,,,,Income Tax Expense,15549000000.0
2023,Income Before Tax,,,,,Income Tax Expense,15549000000.0
2023,EBITDA,,,,,Net Income,72783000000.0
2023,EBITDA,Net Income,,,,Net Income from Continuing Operations,65573000000.0
2023,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2023,Net Income,,,,,Net Income from Continuing Operations,65573000000.0
2023,Net Income,,,,,Comprehensive Income Net of Tax,
2023,Net Interest Income,,,,,Interest Income,5918000000.0
2023,Net Interest Income,,,,,Interest Expense,16989000000.0
2022,Total Revenue,,,,,Cost of Revenue,539450000000.0
2022,Total Revenue,,,,,Gross Profit,313612000000.0
2022,Total Revenue,Gross Profit,,,,Operating Income,105302000000.0
2022,Total Revenue,Gross Profit,Operating Income,,,EBIT,71222000000.0
2022,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,116949000000.0
2022,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,62249000000.0
2022,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,59550000000.0
2022,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,26815000000.0
2022,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,218833000000.0
2022,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2022,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,45727000000.0
2022,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",31922000000.0
2022,Total Revenue,Gross Profit,,,,Research and Development,55465000000.0
2022,Total Revenue,,,,,Non-Interest Income,
2022,Total Revenue,,,,,Other Non-Operating Income,
2022,Total Revenue,,,,,Investment Income Net,
2022,Total Revenue,,,,,Net Interest Income,-20611000000.0
2022,Total Revenue,Net Interest Income,,,,Interest Income,30496000000.0
2022,Total Revenue,Net Interest Income,,,,Interest Expense,20611000000.0
2022,Gross Profit,,,,,Operating Income,105302000000.0
2022,Gross Profit,Operating Income,,,,EBIT,71222000000.0
2022,Gross Profit,Operating Income,EBIT,,,EBITDA,116949000000.0
2022,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,62249000000.0
2022,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,47079000000.0
2022,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2022,Gross Profit,Operating Income,EBIT,,,Income Before Tax,59550000000.0
2022,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,26815000000.0
2022,Gross Profit,Operating Income,,,,Operating Expenses,218833000000.0
2022,Gross Profit,Operating Income,,,,Depreciation,
2022,Gross Profit,Operating Income,,,,Depreciation and Amortization,45727000000.0
2022,Gross Profit,,,,,"Selling, General and Administrative",31922000000.0
2022,Gross Profit,,,,,Research and Development,55465000000.0
2022,Operating Income,,,,,EBIT,71222000000.0
2022,Operating Income,EBIT,,,,EBITDA,116949000000.0
2022,Operating Income,EBIT,EBITDA,,,Net Income,62249000000.0
2022,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,47079000000.0
2022,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2022,Operating Income,EBIT,,,,Income Before Tax,59550000000.0
2022,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,26815000000.0
2022,Operating Income,,,,,Operating Expenses,218833000000.0
2022,Operating Income,,,,,Depreciation,
2022,Operating Income,,,,,Depreciation and Amortization,45727000000.0
2022,EBIT,,,,,EBITDA,116949000000.0
2022,EBIT,EBITDA,,,,Net Income,62249000000.0
2022,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,47079000000.0
2022,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2022,EBIT,,,,,Income Before Tax,59550000000.0
2022,EBIT,Income Before Tax,,,,Income Tax Expense,26815000000.0
2022,Income Before Tax,,,,,Income Tax Expense,26815000000.0
2022,EBITDA,,,,,Net Income,62249000000.0
2022,EBITDA,Net Income,,,,Net Income from Continuing Operations,47079000000.0
2022,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2022,Net Income,,,,,Net Income from Continuing Operations,47079000000.0
2022,Net Income,,,,,Comprehensive Income Net of Tax,
2022,Net Interest Income,,,,,Interest Income,30496000000.0
2022,Net Interest Income,,,,,Interest Expense,20611000000.0
2021,Total Revenue,,,,,Cost of Revenue,421205000000.0
2021,Total Revenue,,,,,Gross Profit,296084000000.0
2021,Total Revenue,Gross Profit,,,,Operating Income,170054000000.0
