Year,Level 0,Level 1,Level 2,Level 3,Level 4,Current Metric,Value
2017,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,14292000000.0
2017,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",12239000000.0
2017,Total Revenue,Gross Profit,,,,Research and Development,17060000000.0
2017,Total Revenue,,,,,Non-Interest Income,
2017,Total Revenue,,,,,Other Non-Operating Income,0.0
2017,Total Revenue,,,,,Investment Income Net,
2017,Total Revenue,,,,,Net Interest Income,5888000000.0
2017,Total Revenue,Net Interest Income,,,,Interest Income,8559000000.0
2017,Total Revenue,Net Interest Income,,,,Interest Expense,2671000000.0
2017,Gross Profit,,,,,Operating Income,48055000000.0
2017,Gross Profit,Operating Income,,,,EBIT,60636000000.0
2017,Gross Profit,Operating Income,EBIT,,,EBITDA,74928000000.0
2017,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,43675000000.0
2017,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,41226000000.0
2017,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2017,Gross Profit,Operating Income,EBIT,,,Income Before Tax,60029000000.0
2017,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,13776000000.0
2017,Gross Profit,Operating Income,,,,Operating Expenses,50284000000.0
2017,Gross Profit,Operating Income,,,,Depreciation,
2017,Gross Profit,Operating Income,,,,Depreciation and Amortization,14292000000.0
2017,Gross Profit,,,,,"Selling, General and Administrative",12239000000.0
2017,Gross Profit,,,,,Research and Development,17060000000.0
2017,Operating Income,,,,,EBIT,60636000000.0
2017,Operating Income,EBIT,,,,EBITDA,74928000000.0
2017,Operating Income,EBIT,EBITDA,,,Net Income,43675000000.0
2017,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,41226000000.0
2017,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2017,Operating Income,EBIT,,,,Income Before Tax,60029000000.0
2017,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,13776000000.0
2017,Operating Income,,,,,Operating Expenses,50284000000.0
2017,Operating Income,,,,,Depreciation,
2017,Operating Income,,,,,Depreciation and Amortization,14292000000.0
2017,EBIT,,,,,EBITDA,74928000000.0
2017,EBIT,EBITDA,,,,Net Income,43675000000.0
2017,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,41226000000.0
2017,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2017,EBIT,,,,,Income Before Tax,60029000000.0
2017,EBIT,Income Before Tax,,,,Income Tax Expense,13776000000.0
2017,Income Before Tax,,,,,Income Tax Expense,13776000000.0
2017,EBITDA,,,,,Net Income,43675000000.0
2017,EBITDA,Net Income,,,,Net Income from Continuing Operations,41226000000.0
2017,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2017,Net Income,,,,,Net Income from Continuing Operations,41226000000.0
2017,Net Income,,,,,Comprehensive Income Net of Tax,
2017,Net Interest Income,,,,,Interest Income,8559000000.0
2017,Net Interest Income,,,,,Interest Expense,2671000000.0
2016,Total Revenue,,,,,Cost of Revenue,34355000000.0
2016,Total Revenue,,,,,Gross Profit,66788000000.0
2016,Total Revenue,Gross Profit,,,,Operating Income,29102000000.0
2016,Total Revenue,Gross Profit,Operating Income,,,EBIT,83869000000.0
2016,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,86800000000.0
2016,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,71460000000.0
2016,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,81468000000.0
2016,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,8449000000.0
2016,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,37231000000.0
2016,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2016,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,2931000000.0
2016,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",9205000000.0
2016,Total Revenue,Gross Profit,,,,Research and Development,13788000000.0
2016,Total Revenue,,,,,Non-Interest Income,
2016,Total Revenue,,,,,Other Non-Operating Income,0.0
2016,Total Revenue,,,,,Investment Income Net,
2016,Total Revenue,,,,,Net Interest Income,
2016,Total Revenue,Net Interest Income,,,,Interest Income,51210000000.0
2016,Total Revenue,Net Interest Income,,,,Interest Expense,1946000000.0
2016,Gross Profit,,,,,Operating Income,29102000000.0
2016,Gross Profit,Operating Income,,,,EBIT,83869000000.0
2016,Gross Profit,Operating Income,EBIT,,,EBITDA,86800000000.0
2016,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,71460000000.0
2016,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,3694.8
2016,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2016,Gross Profit,Operating Income,EBIT,,,Income Before Tax,81468000000.0
2016,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,8449000000.0
2016,Gross Profit,Operating Income,,,,Operating Expenses,37231000000.0
2016,Gross Profit,Operating Income,,,,Depreciation,
2016,Gross Profit,Operating Income,,,,Depreciation and Amortization,2931000000.0
2016,Gross Profit,,,,,"Selling, General and Administrative",9205000000.0
2016,Gross Profit,,,,,Research and Development,13788000000.0
2016,Operating Income,,,,,EBIT,83869000000.0
2016,Operating Income,EBIT,,,,EBITDA,86800000000.0
2016,Operating Income,EBIT,EBITDA,,,Net Income,71460000000.0
2016,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,3694.8
2016,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2016,Operating Income,EBIT,,,,Income Before Tax,81468000000.0
2016,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,8449000000.0
2016,Operating Income,,,,,Operating Expenses,37231000000.0
2016,Operating Income,,,,,Depreciation,
2016,Operating Income,,,,,Depreciation and Amortization,2931000000.0
2016,EBIT,,,,,EBITDA,86800000000.0
2016,EBIT,EBITDA,,,,Net Income,71460000000.0
2016,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,3694.8
2016,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2016,EBIT,,,,,Income Before Tax,81468000000.0
2016,EBIT,Income Before Tax,,,,Income Tax Expense,8449000000.0
2016,Income Before Tax,,,,,Income Tax Expense,8449000000.0
2016,EBITDA,,,,,Net Income,71460000000.0
2016,EBITDA,Net Income,,,,Net Income from Continuing Operations,3694.8
2016,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2016,Net Income,,,,,Net Income from Continuing Operations,3694.8
2016,Net Income,,,,,Comprehensive Income Net of Tax,
2016,Net Interest Income,,,,,Interest Income,51210000000.0
2016,Net Interest Income,,,,,Interest Expense,1946000000.0
2015,Total Revenue,,,,,Cost of Revenue,23834000000.0
2015,Total Revenue,,,,,Gross Profit,52370000000.0
2015,Total Revenue,Gross Profit,,,,Operating Income,23135000000.0
2015,Total Revenue,Gross Profit,Operating Income,,,EBIT,35251000000.0
2015,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,37340000000.0
2015,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,24261000000.0
2015,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,32326000000.0
2015,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,6416000000.0
2015,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,29060000000.0
2015,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2015,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,2089000000.0
2015,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",7800000000.0
2015,Total Revenue,Gross Profit,,,,Research and Development,10658000000.0
2015,Total Revenue,,,,,Non-Interest Income,
2015,Total Revenue,,,,,Other Non-Operating Income,0.0
2015,Total Revenue,,,,,Investment Income Net,
2015,Total Revenue,,,,,Net Interest Income,
2015,Total Revenue,Net Interest Income,,,,Interest Income,
2015,Total Revenue,Net Interest Income,,,,Interest Expense,2750000000.0
2015,Gross Profit,,,,,Operating Income,23135000000.0
2015,Gross Profit,Operating Income,,,,EBIT,35251000000.0
2015,Gross Profit,Operating Income,EBIT,,,EBITDA,37340000000.0
2015,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,24261000000.0
2015,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,3922897007.82
2015,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2015,Gross Profit,Operating Income,EBIT,,,Income Before Tax,32326000000.0
2015,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,6416000000.0
2015,Gross Profit,Operating Income,,,,Operating Expenses,29060000000.0
2015,Gross Profit,Operating Income,,,,Depreciation,
2015,Gross Profit,Operating Income,,,,Depreciation and Amortization,2089000000.0
2015,Gross Profit,,,,,"Selling, General and Administrative",7800000000.0
2015,Gross Profit,,,,,Research and Development,10658000000.0
2015,Operating Income,,,,,EBIT,35251000000.0
2015,Operating Income,EBIT,,,,EBITDA,37340000000.0
2015,Operating Income,EBIT,EBITDA,,,Net Income,24261000000.0
2015,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,3922897007.82
2015,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2015,Operating Income,EBIT,,,,Income Before Tax,32326000000.0
2015,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,6416000000.0
2015,Operating Income,,,,,Operating Expenses,29060000000.0
2015,Operating Income,,,,,Depreciation,
2015,Operating Income,,,,,Depreciation and Amortization,2089000000.0
2015,EBIT,,,,,EBITDA,37340000000.0
2015,EBIT,EBITDA,,,,Net Income,24261000000.0
2015,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,3922897007.82
2015,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2015,EBIT,,,,,Income Before Tax,32326000000.0
2015,EBIT,Income Before Tax,,,,Income Tax Expense,6416000000.0
2015,Income Before Tax,,,,,Income Tax Expense,6416000000.0
2015,EBITDA,,,,,Net Income,24261000000.0
2015,EBITDA,Net Income,,,,Net Income from Continuing Operations,3922897007.82
2015,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2015,Net Income,,,,,Net Income from Continuing Operations,3922897007.82
2015,Net Income,,,,,Comprehensive Income Net of Tax,
2015,Net Interest Income,,,,,Interest Income,
2015,Net Interest Income,,,,,Interest Expense,2750000000.0
2014,Total Revenue,,,,,Cost of Revenue,13369000000.0
2014,Total Revenue,,,,,Gross Profit,39135000000.0
2014,Total Revenue,Gross Profit,,,,Operating Income,24920000000.0
2014,Total Revenue,Gross Profit,Operating Income,,,EBIT,29041000000.0
2014,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,30695000000.0
2014,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,23315000000.0
2014,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,26802000000.0
2014,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,3196000000.0
2014,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,13919000000.0
2014,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2014,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,1654000000.0
2014,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",4218000000.0
2014,Total Revenue,Gross Profit,,,,Research and Development,5093000000.0
2014,Total Revenue,,,,,Non-Interest Income,
2014,Total Revenue,,,,,Other Non-Operating Income,
2014,Total Revenue,,,,,Investment Income Net,
2014,Total Revenue,,,,,Net Interest Income,
2014,Total Revenue,Net Interest Income,,,,Interest Income,
2014,Total Revenue,Net Interest Income,,,,Interest Expense,2195000000.0
2014,Gross Profit,,,,,Operating Income,24920000000.0
2014,Gross Profit,Operating Income,,,,EBIT,29041000000.0
2014,Gross Profit,Operating Income,EBIT,,,EBITDA,30695000000.0
2014,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,23315000000.0
2014,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,23403000000.0
2014,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2014,Gross Profit,Operating Income,EBIT,,,Income Before Tax,26802000000.0
2014,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,3196000000.0
2014,Gross Profit,Operating Income,,,,Operating Expenses,13919000000.0
2014,Gross Profit,Operating Income,,,,Depreciation,
2014,Gross Profit,Operating Income,,,,Depreciation and Amortization,1654000000.0
2014,Gross Profit,,,,,"Selling, General and Administrative",4218000000.0
2014,Gross Profit,,,,,Research and Development,5093000000.0
2014,Operating Income,,,,,EBIT,29041000000.0
2014,Operating Income,EBIT,,,,EBITDA,30695000000.0
2014,Operating Income,EBIT,EBITDA,,,Net Income,23315000000.0
2014,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,23403000000.0
2014,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2014,Operating Income,EBIT,,,,Income Before Tax,26802000000.0
2014,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,3196000000.0
2014,Operating Income,,,,,Operating Expenses,13919000000.0
2014,Operating Income,,,,,Depreciation,
2014,Operating Income,,,,,Depreciation and Amortization,1654000000.0
2014,EBIT,,,,,EBITDA,30695000000.0
2014,EBIT,EBITDA,,,,Net Income,23315000000.0
2014,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,23403000000.0
2014,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2014,EBIT,,,,,Income Before Tax,26802000000.0
2014,EBIT,Income Before Tax,,,,Income Tax Expense,3196000000.0
2014,Income Before Tax,,,,,Income Tax Expense,3196000000.0
2014,EBITDA,,,,,Net Income,23315000000.0
2014,EBITDA,Net Income,,,,Net Income from Continuing Operations,23403000000.0
2014,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2014,Net Income,,,,,Net Income from Continuing Operations,23403000000.0
2014,Net Income,,,,,Comprehensive Income Net of Tax,
2014,Net Interest Income,,,,,Interest Income,
2014,Net Interest Income,,,,,Interest Expense,2195000000.0
2013,Total Revenue,,,,,Cost of Revenue,9719000000.0
2013,Total Revenue,,,,,Gross Profit,24798000000.0
2013,Total Revenue,Gross Profit,,,,Operating Income,10751000000.0
2013,Total Revenue,Gross Profit,Operating Income,,,EBIT,11859000000.0
2013,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,12794000000.0
2013,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,8532000000.0
2013,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,10112000000.0
2013,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,1457000000.0
2013,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,13484000000.0
2013,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2013,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,935000000.0
2013,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",2889000000.0
2013,Total Revenue,Gross Profit,,,,Research and Development,3753000000.0
2013,Total Revenue,,,,,Non-Interest Income,
2013,Total Revenue,,,,,Other Non-Operating Income,
2013,Total Revenue,,,,,Investment Income Net,
2013,Total Revenue,,,,,Net Interest Income,
2013,Total Revenue,Net Interest Income,,,,Interest Income,
2013,Total Revenue,Net Interest Income,,,,Interest Expense,1572000000.0
2013,Gross Profit,,,,,Operating Income,10751000000.0
2013,Gross Profit,Operating Income,,,,EBIT,11859000000.0
2013,Gross Profit,Operating Income,EBIT,,,EBITDA,12794000000.0
2013,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,8532000000.0
2013,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,
2013,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2013,Gross Profit,Operating Income,EBIT,,,Income Before Tax,10112000000.0
2013,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,1457000000.0
2013,Gross Profit,Operating Income,,,,Operating Expenses,13484000000.0
2013,Gross Profit,Operating Income,,,,Depreciation,
2013,Gross Profit,Operating Income,,,,Depreciation and Amortization,935000000.0
2013,Gross Profit,,,,,"Selling, General and Administrative",2889000000.0
2013,Gross Profit,,,,,Research and Development,3753000000.0
2013,Operating Income,,,,,EBIT,11859000000.0
2013,Operating Income,EBIT,,,,EBITDA,12794000000.0
2013,Operating Income,EBIT,EBITDA,,,Net Income,8532000000.0
2013,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,
2013,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2013,Operating Income,EBIT,,,,Income Before Tax,10112000000.0
2013,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,1457000000.0
2013,Operating Income,,,,,Operating Expenses,13484000000.0
2013,Operating Income,,,,,Depreciation,
2013,Operating Income,,,,,Depreciation and Amortization,935000000.0
2013,EBIT,,,,,EBITDA,12794000000.0
2013,EBIT,EBITDA,,,,Net Income,8532000000.0
2013,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,
2013,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2013,EBIT,,,,,Income Before Tax,10112000000.0
2013,EBIT,Income Before Tax,,,,Income Tax Expense,1457000000.0
2013,Income Before Tax,,,,,Income Tax Expense,1457000000.0
2013,EBITDA,,,,,Net Income,8532000000.0
2013,EBITDA,Net Income,,,,Net Income from Continuing Operations,
2013,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2013,Net Income,,,,,Net Income from Continuing Operations,
2013,Net Income,,,,,Comprehensive Income Net of Tax,
2013,Net Interest Income,,,,,Interest Income,
2013,Net Interest Income,,,,,Interest Expense,1572000000.0
2012,Total Revenue,,,,,Cost of Revenue,6554000000.0
2012,Total Revenue,,,,,Gross Profit,13471000000.0
2012,Total Revenue,Gross Profit,,,,Operating Income,5015000000.0
2012,Total Revenue,Gross Profit,Operating Income,,,EBIT,5735000000.0
2012,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,6605000000.0
2012,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,4228000000.0
2012,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,5532000000.0
2012,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,842000000.0
2012,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,8121000000.0
2012,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2012,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,870000000.0
2012,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",2211000000.0
2012,Total Revenue,Gross Profit,,,,Research and Development,2897000000.0
2012,Total Revenue,,,,,Non-Interest Income,
2012,Total Revenue,,,,,Other Non-Operating Income,
2012,Total Revenue,,,,,Investment Income Net,
2012,Total Revenue,,,,,Net Interest Income,
2012,Total Revenue,Net Interest Income,,,,Interest Income,
2012,Total Revenue,Net Interest Income,,,,Interest Expense,68000000.0
2012,Gross Profit,,,,,Operating Income,5015000000.0
2012,Gross Profit,Operating Income,,,,EBIT,5735000000.0
2012,Gross Profit,Operating Income,EBIT,,,EBITDA,6605000000.0
2012,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,4228000000.0
2012,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,
2012,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2012,Gross Profit,Operating Income,EBIT,,,Income Before Tax,5532000000.0
2012,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,842000000.0
2012,Gross Profit,Operating Income,,,,Operating Expenses,8121000000.0
2012,Gross Profit,Operating Income,,,,Depreciation,
2012,Gross Profit,Operating Income,,,,Depreciation and Amortization,870000000.0
2012,Gross Profit,,,,,"Selling, General and Administrative",2211000000.0
2012,Gross Profit,,,,,Research and Development,2897000000.0
2012,Operating Income,,,,,EBIT,5735000000.0
2012,Operating Income,EBIT,,,,EBITDA,6605000000.0
2012,Operating Income,EBIT,EBITDA,,,Net Income,4228000000.0
2012,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,
2012,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2012,Operating Income,EBIT,,,,Income Before Tax,5532000000.0
2012,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,842000000.0
2012,Operating Income,,,,,Operating Expenses,8121000000.0
2012,Operating Income,,,,,Depreciation,
2012,Operating Income,,,,,Depreciation and Amortization,870000000.0
2012,EBIT,,,,,EBITDA,6605000000.0
2012,EBIT,EBITDA,,,,Net Income,4228000000.0
2012,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,
2012,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2012,EBIT,,,,,Income Before Tax,5532000000.0
2012,EBIT,Income Before Tax,,,,Income Tax Expense,842000000.0
2012,Income Before Tax,,,,,Income Tax Expense,842000000.0
2012,EBITDA,,,,,Net Income,4228000000.0
2012,EBITDA,Net Income,,,,Net Income from Continuing Operations,
2012,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2012,Net Income,,,,,Net Income from Continuing Operations,
2012,Net Income,,,,,Comprehensive Income Net of Tax,
2012,Net Interest Income,,,,,Interest Income,
2012,Net Interest Income,,,,,Interest Expense,68000000.0
2011,Total Revenue,,,,,Cost of Revenue,931016000.0
2011,Total Revenue,,,,,Gross Profit,4626570000.0
2011,Total Revenue,Gross Profit,,,,Operating Income,1536538000.0
2011,Total Revenue,Gross Profit,Operating Income,,,EBIT,1536538000.0
2011,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,1763448000.0
2011,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,1469464000.0
2011,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,1706457000.0
2011,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,236445000.0
2011,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,3090032000.0
2011,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2011,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,226910000.0
2011,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",568324000.0
2011,Total Revenue,Gross Profit,,,,Research and Development,580173000.0
2011,Total Revenue,,,,,Non-Interest Income,
2011,Total Revenue,,,,,Other Non-Operating Income,
2011,Total Revenue,,,,,Investment Income Net,
2011,Total Revenue,,,,,Net Interest Income,
2011,Total Revenue,Net Interest Income,,,,Interest Income,
2011,Total Revenue,Net Interest Income,,,,Interest Expense,176398000.0
2011,Gross Profit,,,,,Operating Income,1536538000.0
2011,Gross Profit,Operating Income,,,,EBIT,1536538000.0
2011,Gross Profit,Operating Income,EBIT,,,EBITDA,1763448000.0
2011,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,1469464000.0
2011,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,
2011,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2011,Gross Profit,Operating Income,EBIT,,,Income Before Tax,1706457000.0
2011,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,236445000.0
2011,Gross Profit,Operating Income,,,,Operating Expenses,3090032000.0
2011,Gross Profit,Operating Income,,,,Depreciation,
2011,Gross Profit,Operating Income,,,,Depreciation and Amortization,226910000.0
2011,Gross Profit,,,,,"Selling, General and Administrative",568324000.0
2011,Gross Profit,,,,,Research and Development,580173000.0
2011,Operating Income,,,,,EBIT,1536538000.0
2011,Operating Income,EBIT,,,,EBITDA,1763448000.0
2011,Operating Income,EBIT,EBITDA,,,Net Income,1469464000.0
2011,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,
2011,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2011,Operating Income,EBIT,,,,Income Before Tax,1706457000.0
2011,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,236445000.0
2011,Operating Income,,,,,Operating Expenses,3090032000.0
2011,Operating Income,,,,,Depreciation,
2011,Operating Income,,,,,Depreciation and Amortization,226910000.0
2011,EBIT,,,,,EBITDA,1763448000.0
2011,EBIT,EBITDA,,,,Net Income,1469464000.0
2011,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,
2011,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2011,EBIT,,,,,Income Before Tax,1706457000.0
2011,EBIT,Income Before Tax,,,,Income Tax Expense,236445000.0
2011,Income Before Tax,,,,,Income Tax Expense,236445000.0
2011,EBITDA,,,,,Net Income,1469464000.0
2011,EBITDA,Net Income,,,,Net Income from Continuing Operations,
2011,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2011,Net Income,,,,,Net Income from Continuing Operations,
2011,Net Income,,,,,Comprehensive Income Net of Tax,
2011,Net Interest Income,,,,,Interest Income,
2011,Net Interest Income,,,,,Interest Expense,176398000.0
2010,Total Revenue,,,,,Cost of Revenue,534438000.0
2010,Total Revenue,,,,,Gross Profit,3340290000.0
2010,Total Revenue,Gross Profit,,,,Operating Income,1072970000.0
2010,Total Revenue,Gross Profit,Operating Income,,,EBIT,1072970000.0
2010,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,1199552000.0
2010,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,1013026000.0
2010,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,1176419000.0
2010,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,163393000.0
2010,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,2267320000.0
2010,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2010,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,126582000.0
2010,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",409708000.0
2010,Total Revenue,Gross Profit,,,,Research and Development,384333000.0
2010,Total Revenue,,,,,Non-Interest Income,
2010,Total Revenue,,,,,Other Non-Operating Income,
2010,Total Revenue,,,,,Investment Income Net,
2010,Total Revenue,,,,,Net Interest Income,
2010,Total Revenue,Net Interest Income,,,,Interest Income,
2010,Total Revenue,Net Interest Income,,,,Interest Expense,140941000.0
2010,Gross Profit,,,,,Operating Income,1072970000.0
2010,Gross Profit,Operating Income,,,,EBIT,1072970000.0
2010,Gross Profit,Operating Income,EBIT,,,EBITDA,1199552000.0
2010,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,1013026000.0
2010,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,
2010,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2010,Gross Profit,Operating Income,EBIT,,,Income Before Tax,1176419000.0
2010,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,163393000.0
2010,Gross Profit,Operating Income,,,,Operating Expenses,2267320000.0
2010,Gross Profit,Operating Income,,,,Depreciation,
2010,Gross Profit,Operating Income,,,,Depreciation and Amortization,126582000.0
2010,Gross Profit,,,,,"Selling, General and Administrative",409708000.0
2010,Gross Profit,,,,,Research and Development,384333000.0
2010,Operating Income,,,,,EBIT,1072970000.0
2010,Operating Income,EBIT,,,,EBITDA,1199552000.0
